Orbit,start,end,,,,,,Difference (Labeled - Predicted),,,,,,,,
6810,0,27,,,,,,,,,6810,1,0,27,1230,1309
6811,0,34,,,,,,,,,6811,1,0,34,1231,1305
6812,0,41,,,,,,,,,6812,1,0,41,1218,1301
6813,0,36,,,,,,,,,6813,1,0,36,1205,1300
6814,0,75,,,,,,,,,6814,1,0,75,1212,1292
6815,0,78,,,,,,,,,6815,1,0,78,1186,1293
6816,0,70,,,,,,,,,6816,1,0,70,1176,1290
6817,0,46,,,,,,,,,6817,1,0,46,1172,1289
6818,0,92,,,,,,,,,6818,1,0,92,1186,1288
6819,0,96,,,,,,,,,6819,1,0,96,1172,1285
6820,0,96,,,,,,,,,6820,1,0,96,1175,1285
6821,0,85,,,,,,,,,6821,1,0,85,1169,1287
6822,0,73,,,,,,,,,6822,1,0,73,1156,1286
6823,0,73,,,,,,,,,6823,1,0,73,1163,1285
6824,0,79,,,,,,,,,6824,1,0,79,1156,1285
6825,0,129,,,,,,,,,6825,1,0,129,1149,1284
6826,0,122,,,,,,,,,6826,1,0,122,1142,1283
6827,0,131,,,,,,,,,6827,1,0,131,1141,1282
6828,0,133,,,,,,,,,6828,1,0,133,1129,1283
6829,0,122,,,,,,,,,6829,1,0,122,1128,1283
6830,0,163,,,,,,,,,6830,1,0,163,1121,1280
,,,,,,,,,,,,,,,,
6810,1230,1309,,,,,,,,,6831,1,0,180,1117,1283
6811,1231,1305,,,,,,,,,6832,1,0,132,1113,1282
6812,1218,1301,,,,,,,,,6833,1,0,141,1114,1283
6813,1205,1300,,,,,,,,,6834,1,0,183,1092,1284
6814,1212,1292,,,,,,,,,6835,1,0,198,1096,1280
6815,1186,1293,,,,,,,,,6836,1,0,150,1088,1282
6816,1176,1290,,,,,,,,,6837,1,0,204,1080,1286
6817,1172,1289,,,,,,,,,6838,1,0,198,1084,1286
6818,1186,1288,,,,,,,,,6839,1,0,178,1075,1283
6819,1172,1285,,,,,,,,,,,,,,
6820,1175,1285,,,,,,,,,,,,,,
6821,1169,1287,,,,,,,,,,,,,,
6822,1156,1286,,,,,,,,,,,,,,
6823,1163,1285,,,,,,,,,,,,,,
6824,1156,1285,,,,,,,,,,,,,,
6825,1149,1284,,,,,,,,,,,,,,
6826,1142,1283,,,,,,,,,,,,,,
6827,1141,1282,,,,,,,,,,,,,,
6828,1129,1283,,,,,,,,,,,,,,
6829,1128,1283,,,,,,,,,,,,,,
6830,1121,1280,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6831,0,180,,,,,,,,,,,,,,
6832,0,132,,,,,,,,,,,,,,
6833,0,141,,,,,,,,,,,,,,
6834,0,183,,,,,,,,,,,,,,
6835,0,198,,,,,,,,,,,,,,
6836,0,150,,,,,,,,,,,,,,
6837,0,204,,,,,,,,,,,,,,
6838,0,198,,,,,,,,,,,,,,
6839,0,178,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
6831,1117,1283,,,,,,,,,,,,,,
6832,1113,1282,,,,,,,,,,,,,,
6833,1114,1283,,,,,,,,,,,,,,
6834,1092,1284,,,,,,,,,,,,,,
6835,1096,1280,,,,,,,,,,,,,,
6836,1088,1282,,,,,,,,,,,,,,
6837,1080,1286,,,,,,,,,,,,,,
6838,1084,1286,,,,,,,,,,,,,,
6839,1075,1283,,,,,,,,,,,,,,
